; Column layout:
; SIZE  =IPv4= <IPv4 protocols> =IPv6= <native IPv6 protocols> =IPv6t= <tunneled IPv6 protocols>
; First column (SIZE) is packet size in bytes
; Column =IPv4= is total number of IPv4 packets for each packet size
; Subsequent columns (upto =IPv6= or =IPv6t= or end of line, whichever
; comes first) give the number of IPv4 packets for the indicated protocol
; Column =IPv6= is total number of native IPv6 packets for each packet size
; Subsequent columns (upto =IPv6t= or end of line) give the number of IPv6
; packets for the indicated protocol
; Column =IPv6t= is total number of tunneled IPv4-over-IPv6 packets
; Subsequent columns give the number of tunneled IPv6 packets for the
; the indicated protocol
;
; First timestamp: 1459947552.407658674
; Last timestamp: 1459951362.403493777
; Total number of packets: 1811152408
; Total number of IPv4 packets: 1755133537
; Total number of native IPv6 packets: 56018871
; Total number of tunneled IPv6 packets: 1523
; IPv6 native fragments: 261
;
SIZE     =IPv4=       SCTP       IPv6        ESP        UDP        GRE       ICMP        TCP    UNKNOWN     =IPv6=      ICMP6        UDP        TCP    =IPv6t=      ICMP6        UDP        TCP
         21     271528          0          0          0     271528          0          0          0          0          0          0          0          0          0          0          0          0
         22        133          0          0          0         77         56          0          0          0          0          0          0          0          0          0          0          0
         23        577          0          0          0        565          0          0         12          0          0          0          0          0          0          0          0          0
         24        366          0          0          3        361          0          0          2          0          0          0          0          0          0          0          0          0
         25    1345859          0          0          0    1345855          0          0          4          0          0          0          0          0          0          0          0          0
         26       6648          0          0          0       6631         13          0          4          0          0          0          0          0          0          0          0          0
         27       6191          0          0          0       6191          0          0          0          0          0          0          0          0          0          0          0          0
         28      29369          0          0          0      11472       1087      16498        312          0          0          0          0          0          0          0          0          0
         29     192786          0          0          0     192779          0          1          6          0          0          0          0          0          0          0          0          0
         30      17518          0          0          0      17153          0        360          5          0          0          0          0          0          0          0          0          0
         31       9831          0          0          0       9800          0          0         31          0          0          0          0          0          0          0          0          0
         32     129926          0          0       2847      80577       3695      42797         10          0          0          0          0          0          0          0          0          0
         33       6494          0          0          0       6475          0         18          1          0          0          0          0          0          0          0          0          0
         34      15299          0          0          0      15298          0          0          1          0          0          0          0          0          0          0          0          0
         35      99311          0          0          0      99311          0          0          0          0          0          0          0          0          0          0          0          0
         36     887399          0          0          0     831734          0      55655         10          0          0          0          0          0          0          0          0          0
         37      20823          0          0          0      20818          0          0          5          0          0          0          0          0          0          0          0          0
         38     244113          0          0          0     243963          0        142          8          0          0          0          0          0          0          0          0          0
         39     385809          0          0          0     385805          0          0          4          0          0          0          0          0          0          0          0          0
         40  226166497          0          0          1      97196         21      13063  226056216          0          0          0          0          0          0          0          0          0
         41    3880747          0          0          0     217535          0          0    3663212          0          0          0          0          0          0          0          0          0
